run1,run2,jaccard_edge_similarity
20241209_003719_corn stover_to_ethanol_(15),20241209_003719_corn stover_to_ethanol_(5),0.3333333333333333
20241209_003719_corn stover_to_ethanol_(15),20241209_003719_corn stover_to_ethanol_(6),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(15),20241209_003719_corn stover_to_ethanol_(7),0.2727272727272727
20241209_003719_corn stover_to_ethanol_(15),20241209_003719_corn stover_to_ethanol_(8),0.42105263157894735
20241209_003719_corn stover_to_ethanol_(15),20241209_003719_corn stover_to_ethanol_(9),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(1),0.47368421052631576
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(10),0.3684210526315789
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(11),0.34782608695652173
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(12),0.2
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(13),0.2727272727272727
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(14),0.18181818181818182
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(15),0.30434782608695654
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(16),0.3333333333333333
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(17),0.36363636363636365
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(18),0.45
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(19),0.16666666666666666
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(2),0.5
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(20),0.4
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(3),0.2727272727272727
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(4),0.3333333333333333
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(5),0.34782608695652173
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(6),0.2
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(7),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(8),0.5
20241209_003719_corn stover_to_ethanol_(15),20241209_004018_corn stover_to_ethanol_(9),0.5
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(17),0.38095238095238093
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(18),0.5
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(19),0.42857142857142855
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(2),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(20),0.625
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(3),0.35
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(4),0.3888888888888889
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(5),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(6),0.7142857142857143
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(7),0.3684210526315789
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(8),0.3157894736842105
20241209_003719_corn stover_to_ethanol_(16),20241209_003719_corn stover_to_ethanol_(9),0.6
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(1),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(10),0.5
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(11),0.45
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(12),0.2727272727272727
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(13),0.3684210526315789
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(14),0.2631578947368421
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(15),0.2727272727272727
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(16),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(17),0.6470588235294118
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(18),0.5
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(19),0.23809523809523808
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(2),0.47058823529411764
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(20),0.625
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(3),0.3684210526315789
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(4),0.4444444444444444
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(5),0.5263157894736842
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(6),0.2727272727272727
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(7),0.7142857142857143
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(8),0.6666666666666666
20241209_003719_corn stover_to_ethanol_(16),20241209_004018_corn stover_to_ethanol_(9),0.5625
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(18),0.45454545454545453
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(19),0.5217391304347826
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(2),0.4090909090909091
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(20),0.47619047619047616
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(3),0.23076923076923078
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(4),0.36363636363636365
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(5),0.55
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(6),0.38095238095238093
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(7),0.4090909090909091
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(8),0.25
20241209_003719_corn stover_to_ethanol_(17),20241209_003719_corn stover_to_ethanol_(9),0.5263157894736842
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(1),0.47619047619047616
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(10),0.5263157894736842
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(11),0.4166666666666667
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(12),0.2222222222222222
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(13),0.4090909090909091
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(14),0.2608695652173913
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(15),0.375
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(16),0.47619047619047616
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(17),0.5714285714285714
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(18),0.391304347826087
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(19),0.19230769230769232
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(2),0.36363636363636365
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(20),0.4090909090909091
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(3),0.34782608695652173
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(4),0.631578947368421
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(5),0.4166666666666667
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(6),0.17857142857142858
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(7),0.45
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(8),0.42857142857142855
20241209_003719_corn stover_to_ethanol_(17),20241209_004018_corn stover_to_ethanol_(9),0.42857142857142855
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(19),0.43478260869565216
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(2),0.45
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(20),0.6111111111111112
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(3),0.25
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(4),0.3333333333333333
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(5),0.5263157894736842
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(6),0.5
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(7),0.45
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(8),0.2727272727272727
20241209_003719_corn stover_to_ethanol_(18),20241209_003719_corn stover_to_ethanol_(9),0.6875
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(1),0.7058823529411765
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(10),0.5882352941176471
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(11),0.5238095238095238
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(12),0.24
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(13),0.45
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(14),0.22727272727272727
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(15),0.2916666666666667
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(16),0.45
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(17),0.55
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(18),0.42857142857142855
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(19),0.20833333333333334
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(2),0.4
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(20),0.5263157894736842
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(3),0.3181818181818182
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(4),0.5263157894736842
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(5),0.45454545454545453
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(6),0.24
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(7),0.5
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(8),0.47368421052631576
20241209_003719_corn stover_to_ethanol_(18),20241209_004018_corn stover_to_ethanol_(9),0.47368421052631576
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(2),0.391304347826087
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(20),0.45454545454545453
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(3),0.2222222222222222
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(4),0.2916666666666667
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(5),0.45454545454545453
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(6),0.42857142857142855
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(7),0.3333333333333333
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(8),0.24
20241209_003719_corn stover_to_ethanol_(19),20241209_003719_corn stover_to_ethanol_(9),0.5789473684210527
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(1),0.5238095238095238
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(10),0.42857142857142855
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(11),0.4583333333333333
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(12),0.21428571428571427
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(13),0.3333333333333333
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(14),0.25
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(15),0.36
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(16),0.45454545454545453
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(17),0.4782608695652174
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(18),0.43478260869565216
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(19),0.18518518518518517
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(2),0.4090909090909091
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(20),0.5238095238095238
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(3),0.3333333333333333
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(4),0.45454545454545453
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(5),0.4583333333333333
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(6),0.21428571428571427
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(7),0.5789473684210527
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(8),0.55
20241209_003719_corn stover_to_ethanol_(19),20241209_004018_corn stover_to_ethanol_(9),0.47619047619047616
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(20),0.6470588235294118
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(3),0.2608695652173913
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(4),0.35
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(5),0.5555555555555556
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(6),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(7),0.4
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(8),0.2857142857142857
20241209_003719_corn stover_to_ethanol_(2),20241209_003719_corn stover_to_ethanol_(9),0.5294117647058824
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(1),0.47368421052631576
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(10),0.625
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(11),0.47619047619047616
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(12),0.25
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(13),0.4
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(14),0.3
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(15),0.30434782608695654
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(16),0.5555555555555556
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(17),0.5
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(18),0.38095238095238093
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(19),0.21739130434782608
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(2),0.35
20241209_003719_corn stover_to_ethanol_(2),20241209_004018_corn stover_to_ethanol_(20),0.5555555555555556
